id,created_at,name,lng,lat,visible,description,material,type,category,author,year,place,wiki_url,image_url
1,2025-03-13 20:49:29.077842+00,Fontána,16.6046562,49.1984819,true,"Pro tento výrazný prostor navrhl architekt a sochař Zdeněk Makovský nízkou kruhovou fontánu, kterou lze procházet ke vstupu do budovy rektorátu. Je napájena z horních chrličů umístěných po obvodu. Voda protéká reliéfem na téma vodního proudění, aby v nižší části vytvořila průchozí řečiště. Fontána je vytvořena z žulových desek. Zdeněk Makovský tímto dílem navazuje na městskou tvorbu svého otce, který tvořil díla s tematikou vody.",,fontána,Vodní prvky,Zdeněk Makovský,1994,,https://www.encyklopedie.brna.cz/home-mmb/?acc=profil_objektu&load=1409,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=177873&RECORD_ID=6911&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080
2,2025-03-13 20:49:29.25382+00,Ženy po koupeli,16.61281,49.2033181,true,"Sousoší představuje tři ženy sušící se po koupeli. Jeho autorka, Sylva Lacinová, je jedna  z nejvýznamnějších československých sochařek druhé poloviny 20. století. Pochází přímo z Brna a ve veřejném prostoru zde máme několik jejích soch a reliéfů.",,socha,Sochy,Sylva Lacinová,1972,,https://encyklopedie.brna.cz/home-mmb/?acc=profil_objektu&load=2205,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=154594&RECORD_ID=6919&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080
3,2025-03-13 20:49:29.308487+00,Ležící žena,16.6102144,49.200965,true,O této soše nemáme žádnou zajímavost. Znáš ji ty? Napiš nám na havelkova.katka@gmail.com a my ji do aplikace doplníme. 👐,,socha,Sochy,Miloš Axman,1969,,https://encyklopedie.brna.cz/home-mmb/?acc=profil_objektu&load=853,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=154632&RECORD_ID=6921&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080
4,2025-03-13 20:49:29.365761+00,Královna noci / Kouzelná flétna,16.6107341,49.1992426,true,"Série plastik v parku na Kolišti. Tato se jmenuje Královna noci podle Mozartovy opery Kouzelná flétna. Autorka sochy, Tamara Divíšková (*1934, Brno) je česká keramička, sochařka a kostýmní návrhářka, známá svými glazovanými plastikami, reliéfy a mozaikami především v mateřských či základních školách a veřejných prostorech, Její tvorba vyniká hravostí, citlivostí k materiálu a fantazijními prvky. Své výtvarné dílo rozšířila i o kostýmní návrhy pro brněnské divadlo, což ukazuje její široký umělecký záběr.",,socha,Sochy,Tamara Divišková,1999,V parku pod Janáčkovým divadlem,https://encyklopedie.brna.cz/home-mmb/?acc=profil_objektu&load=1120,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=153993&RECORD_ID=6932&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080
5,2025-03-13 20:49:29.421367+00,Sedící žena,16.5764026,49.2187397,true,O této soše nemáme žádnou zajímavost. Znáš ji ty? Napiš nám na havelkova.katka@gmail.com a my ji do aplikace doplníme. 👐,kámen,socha,Sochy,Konrád Babraj,1952,,https://encyklopedie.brna.cz/home-mmb/?acc=profil_objektu&load=1351&qt=&qc=&qe=,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=67394&RECORD_ID=6935&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080
6,2025-03-13 20:49:29.476432+00,Rodina,16.5765078,49.2175507,true,O této soše nemáme žádnou zajímavost. Znáš ji ty? Napiš nám na havelkova.katka@gmail.com a my ji do aplikace doplníme. 👐,,socha,Sochy,Konrád Babraj,1981,,https://encyklopedie.brna.cz/home-mmb/?acc=profil_objektu&load=1278,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=68208&RECORD_ID=6936&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080
7,2025-03-13 20:49:29.565296+00,Mim (Pierot),16.6033029,49.1985222,true,"V roce 1989 nahradil Mim sochu Klementa Gottwalda a důvodem jejího umístění je to, že v těchto místech stála budova prvního výhradně českého divadla. Dokladem toho je i pamětní deska hned za rohem. Jako model této sochy stál brněnský herec Bolek Polívka.",,socha,Sochy,Jiří Marek,2002,,https://encyklopedie.brna.cz/home-mmb/?acc=profil_objektu&load=646,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=154082&RECORD_ID=6938&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080
8,2025-03-13 20:49:29.615957+00,Moudrost (objekt s historickou mapou),16.6075535,49.1974551,true,"Model Brna z roku 1645 vyjadřuje prozíravost. Jednu ze čtyř ctností, které by podle filozofa Platona správné město mělo mít. Další objekty představující ctnosti na Moravském náměstí jsou socha Spravedlnosti před soudem, Jošt (Odvaha) a kašna (Umírněnost).",,socha,Sochy,,2010,,https://encyklopedie.brna.cz/home-mmb/?acc=profil_objektu&load=901,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=153323&RECORD_ID=6943&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080
9,2025-03-13 20:49:29.667135+00,Sv. Josef,16.603383,49.2344407,true,"Svatý Josef byl manžel Panny Marie, která porodila Ježíše Krista. Je v křesťanství uctíván jako vzor spravedlnosti, víry a tiché služby. Byl tesařem a ochráncem Svaté rodiny, svou oddaností a pokorou sehrál klíčovou roli v Ježíšově pozemském životě. Katolická církev ho uctívá jako patrona rodin, dělníků i celé církve.",,socha,Sochy,Adolf Loos,1888,,https://encyklopedie.brna.cz/home-mmb/?acc=profil_objektu&load=1298,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=64435&RECORD_ID=6947&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080
10,2025-03-13 20:49:29.727611+00,Pocta T. A. Edisonovi,16.6132843,49.1953055,true,"Socha žárovek vznikla jako pocta Thomasi A. Edisonovi, který ovšem žárovky nevynalezl, pouze zdokonalil a nechal si patentovat. Nedaleké Mahenovo divadlo bylo ve své době první elektrifikovanou budovou v Brně. Socha je součástí cyklu Sochy pro Brno, které připomínají významné brněnské osobnosti. Objekt tvoří čtyři prolínající se žárovky, z nichž dvě jsou v původním protáhlém tvaru se závitem, jak je představil Edison, a další dvě jsou podobné těm, jimiž bylo vybaveno divadlo.",,socha,Sochy,Tomáš Medek,2008,Před obchodním domem Centrum,https://encyklopedie.brna.cz/home-mmb/?acc=profil_objektu&load=896,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=99663&RECORD_ID=6949&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080
11,2025-03-13 20:49:29.788974+00,Wolfgang Amadeus Mozart,16.6095605,49.1922483,true,"Další dílo ze série Sochy pro Brno představuje poctu W. A. Mozartovi, který v Brně působil v roce 1767. Autor Kurt Gebauer ho znázornil jako andělíčka s jedním křídlem, na vysokém sloupu. Až příště půjdete přes Zelňák, nezapomeňte zvednout oči nahoru.",bronz,socha,Sochy,Kurt Gebauer,2008,Před budovou divadla Reduta,https://encyklopedie.brna.cz/home-mmb/?acc=profil_objektu&load=709,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=98715&RECORD_ID=6950&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080
