kod,x,y,nazev,popis_objektu,material,typ,druh,autor_dila,rok_vytvoreni,umisteni,url_odkaz_enc,obr_id1,obr_id2,obr_id3,obr_id4,obr_id5,obr_id6
6911,16.6046562,49.1984819,Fontána,,,fontána,Vodní prvky,Zdeněk Makovský,1994,,https://www.encyklopedie.brna.cz/home-mmb/?acc=profil_objektu&load=1409,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=177873&RECORD_ID=6911&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=177872&RECORD_ID=6911&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=177871&RECORD_ID=6911&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,,,
6919,16.61281,49.2033181,Ženy po koupeli,,,socha,Sochy,Sylva Lacinová,1972,,https://encyklopedie.brna.cz/home-mmb/?acc=profil_objektu&load=2205,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=154594&RECORD_ID=6919&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=154587&RECORD_ID=6919&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=154589&RECORD_ID=6919&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=154590&RECORD_ID=6919&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=154588&RECORD_ID=6919&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=154586&RECORD_ID=6919&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080
6921,16.6102144,49.200965,Ležící žena,,,socha,Sochy,Miloš Axman,1972,,https://encyklopedie.brna.cz/home-mmb/?acc=profil_objektu&load=853,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=154632&RECORD_ID=6921&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=154631&RECORD_ID=6921&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=154630&RECORD_ID=6921&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=154629&RECORD_ID=6921&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,,
6932,16.6107341,49.1992426,Královna noci / Kouzelná flétna,Série plastik od Tamary Divíškové v parku na Kolišti. Tato se jmenuje Královna noci podle Mozartovy opery Kouzelná flétna,,socha,Sochy,Tamara Divišková,1999,V parku pod Janáčkovým divadlem,https://encyklopedie.brna.cz/home-mmb/?acc=profil_objektu&load=1120,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=153993&RECORD_ID=6932&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=153997&RECORD_ID=6932&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=153996&RECORD_ID=6932&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=153995&RECORD_ID=6932&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=153994&RECORD_ID=6932&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,
6935,16.5764026,49.2187397,Sedící žena,,kámen,socha,Sochy,Konrád Babraj,1952,,https://encyklopedie.brna.cz/home-mmb/?acc=profil_objektu&load=1351&qt=&qc=&qe=,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=67394&RECORD_ID=6935&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=67393&RECORD_ID=6935&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,,,,
6936,16.5765078,49.2175507,Rodina,,,socha,Sochy,Konrád Babraj,1981,,https://encyklopedie.brna.cz/home-mmb/?acc=profil_objektu&load=1278,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=68208&RECORD_ID=6936&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,,,,,
6938,16.6033029,49.1985222,Mim (Pierot),"V roce 1989 nahradil Mim sochu Klementa Gottwalda a důvodem jejího umístění je to, že v těchto místech stála budova prvního výhradně českého divadla. Dokladem toho je i pamětní deska hned za rohem. Jako model této sochy stál brněnský herec Bolek Polívka.",,socha,Sochy,Jiří Marek,2002,,https://encyklopedie.brna.cz/home-mmb/?acc=profil_objektu&load=646,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=154082&RECORD_ID=6938&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=154084&RECORD_ID=6938&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=154083&RECORD_ID=6938&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=154081&RECORD_ID=6938&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=154080&RECORD_ID=6938&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=154079&RECORD_ID=6938&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080
6943,16.6075535,49.1974551,Moudrost (objekt s historickou mapou),,,socha,Sochy,,,,https://encyklopedie.brna.cz/home-mmb/?acc=profil_objektu&load=901,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=153323&RECORD_ID=6943&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=153322&RECORD_ID=6943&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=153320&RECORD_ID=6943&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=153321&RECORD_ID=6943&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=153319&RECORD_ID=6943&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,
6947,16.603383,49.2344407,Sv. Josef,,,socha,Sochy,Adolf Loos,1888,,https://encyklopedie.brna.cz/home-mmb/?acc=profil_objektu&load=1298,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=64435&RECORD_ID=6947&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=64438&RECORD_ID=6947&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=64437&RECORD_ID=6947&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=64436&RECORD_ID=6947&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=64434&RECORD_ID=6947&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,
6949,16.6132843,49.1953055,Pocta T. A. Edisonovi,"Socha žárovek vznikla jako pocta Thomasi A. Edisonovi, který ovšem žárovky nevynalezl, pouze zdokonalil a nechal si patentovat. Nedaleké Mahenovo divadlo bylo ve své době první elektrifikovanou budovou v Brně. Socha je součástí cyklu Sochy pro Brno, které připomínají významné brněnské osobnosti.",,socha,Sochy,Tomáš Medek,2008,Před obchodním domem Centrum,https://encyklopedie.brna.cz/home-mmb/?acc=profil_objektu&load=896,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=99663&RECORD_ID=6949&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=99662&RECORD_ID=6949&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=99664&RECORD_ID=6949&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=99666&RECORD_ID=6949&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=99665&RECORD_ID=6949&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,
