kod,nazev,popis_objektu,sloh,material,spravce,typ,druh,url_3d,autor_dila,rok_vytvoreni,umisteni,adresa_momc,adresa_ulice,adresa_cislo_domovni,adresa_cislo_orientacni,url_odkaz_enc,obr_id1,obr_id2,obr_id3,obr_id4,obr_id5,obr_id6,url_odkaz_katalog,datum_exportu,ObjectId,GlobalID,x,y
7384,Tři chodci,,,,Neurčeno,socha,Sochy,,Olbram Zoubek,,,Brno-Židenice,Komprdova,4334,18,https://encyklopedie.brna.cz/home-mmb/?acc=profil_objektu&load=2230,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=212637&RECORD_ID=7384&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,,,,,,,3/11/2025 12:00:00 AM,1,6636e89c-fb90-4a96-b504-8005ffd44be1,1852991.62713403,6309863.05344029
10,Socha Ecce homo (Krista Trpitele),,baroko,,Odbor správy majetku,,,,,,Před kostelem sv. Leopolda,Brno-střed,Vídeňská,228,7,,,,,,,,https://pamatkovykatalog.cz/uskp/podle-relevance/1/seznam?h=1000158302&chranenoTed=1&hlObj=1&fulltext=,3/11/2025 12:00:00 AM,2,fedfb17b-f311-4359-8504-fc8d4ca998ca,1847387.99321063,6306311.73044162
6895,Jan Zahradníček,,,,Neurčeno,deska,Pamětní desky,,Otmar Oliva,2000,,Brno-střed,Šilingrovo náměstí,283,1,https://encyklopedie.brna.cz/home-mmb/?acc=profil_objektu&load=138,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=65407&RECORD_ID=6895&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=65406&RECORD_ID=6895&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=65405&RECORD_ID=6895&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=65404&RECORD_ID=6895&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,,,,3/11/2025 12:00:00 AM,3,85a5f85e-db78-4c8c-ae1f-708015a83ae7,1848556.9257876,6307555.13816471
7385,Kříž,"Tmavý litinový kříž se zlaceným tělem Krista, svatozáří a nápisem INRI nad  hlavou; u paty kříže je zlacená soška Panny Marie; umístěno na kamenném soklu s nápisem",,litina,Neurčeno,kříž,Sakrální památky,,Neznámý,1883,,Brno-Vinohrady,,844,,https://encyklopedie.brna.cz/home-mmb/?acc=profil_objektu&load=2019,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=212928&RECORD_ID=7385&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=212929&RECORD_ID=7385&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=212927&RECORD_ID=7385&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,,,,,3/11/2025 12:00:00 AM,4,09db9172-2899-4fdc-97ea-4bb73cbfbfd9,1853813.79949718,6309103.08814822
6896,Pavel a Hugo Haasové,,,,Odbor kultury MMB,deska,Pamětní desky,,Marie Othová,1997,Na fasádě budovy,Brno-střed,Biskupská,266,6,https://encyklopedie.brna.cz/home-mmb/?acc=profil_objektu&load=15,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=98669&RECORD_ID=6896&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=98670&RECORD_ID=6896&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=98668&RECORD_ID=6896&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,,,,,3/11/2025 12:00:00 AM,5,e3f57836-c8b5-44b9-a76a-98a2c8fa3dfb,1848593.77253906,6307462.35571659
11,Kašna Parnas,,baroko,,Odbor správy majetku,kašna,Vodní prvky,,"Jan Bernard Fischer z Erlachu, Antonín Riga a další",,Uprostřed Zelného trhu,,Zelný trh,324,19,,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=164362&RECORD_ID=11&AGENDA_IDENT=PASPORT_PAMATEK_PAMATKY&preview=1080,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=164363&RECORD_ID=11&AGENDA_IDENT=PASPORT_PAMATEK_PAMATKY&preview=1080,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=164368&RECORD_ID=11&AGENDA_IDENT=PASPORT_PAMATEK_PAMATKY&preview=1080,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=164367&RECORD_ID=11&AGENDA_IDENT=PASPORT_PAMATEK_PAMATKY&preview=1080,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=164366&RECORD_ID=11&AGENDA_IDENT=PASPORT_PAMATEK_PAMATKY&preview=1080,,https://pamatkovykatalog.cz/uskp/podle-relevance/1/seznam?h=1000160826&chranenoTed=1&hlObj=1&fulltext=,3/11/2025 12:00:00 AM,6,50f74726-5d40-4372-b48c-436b7abe9d4c,1848905.09975896,6307571.76314309
6899,Adolf Kroupa,,,,Neurčeno,deska,Pamětní desky,,"Ludvík Kundera, Jiří Sobotka",2000,,Brno-střed,Malinovského náměstí,652,2,https://encyklopedie.brna.cz/home-mmb/?acc=profil_objektu&load=608,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=65097&RECORD_ID=6899&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=65096&RECORD_ID=6899&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=65095&RECORD_ID=6899&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=65094&RECORD_ID=6899&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,,,,3/11/2025 12:00:00 AM,7,7aca7a94-1a47-46e2-995b-c2306154c60d,1849545.34267831,6308209.97589183
7386,Prof. Josef Sumec,"Jde o původní sochu Miloše Axmana, která byla odcizena v roce 2014 a nahrazena kopií.",,bronz,,busta,Sochy,,Miloš Axman,1967,V parčíku před hlavním vchodem do budovy rektorátu VUT v Brně,Brno-střed,Smetanova,756,14,https://encyklopedie.brna.cz/home-mmb/?acc=profil_objektu&load=7,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=223448&RECORD_ID=7386&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=223449&RECORD_ID=7386&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,,,,,,3/11/2025 12:00:00 AM,8,d85e9e51-ff51-41aa-a3c8-f26a54ac151c,1848227.13066418,6309137.99683294
6901,František Poupě,,,,Odbor kultury MMB,deska,Pamětní desky,,Zdeněk Makovský,1995,Na fasádě budovy,Brno-střed,Starobrněnská,343,22,https://www.encyklopedie.brna.cz/home-mmb/?acc=profil_objektu&load=143,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=98657&RECORD_ID=6901&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=98660&RECORD_ID=6901&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=98659&RECORD_ID=6901&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=98658&RECORD_ID=6901&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,,,,3/11/2025 12:00:00 AM,9,1ff4c339-9a67-44e7-8f1c-6b6d2821a594,1848578.43271322,6307590.31297838
7387,Laurenz Andreas Patritius Padowetz,,,,,busta,Sochy,,,,Chodba v 1. patře,Brno-střed,Bašty,413,2,https://encyklopedie.brna.cz/home-mmb/?acc=profil_objektu&load=553,,,,,,,,3/11/2025 12:00:00 AM,10,a1096353-50e5-4f86-ab54-b0d36e493f8e,1849095.53401186,6307345.42096712
7388,Otakar Teyschl,Bronzová portrétní busta na hnědém leštěném žulovém podstavci a pod ní je umístěn plastický nápis.,,bronz,,busta,Sochy,,František Navrátil,1973,Ve vstupní hale Dětské nemocnice Brno naproti vchodu,Brno-sever,Černopolní,212,9,https://encyklopedie.brna.cz/home-mmb/?acc=profil_objektu&load=287,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=242053&RECORD_ID=7388&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=242055&RECORD_ID=7388&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=242054&RECORD_ID=7388&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,,,,,3/11/2025 12:00:00 AM,11,5bcfe729-3e26-49bc-9283-2ea482b390a5,1849904.58180705,6309491.52143308
14,Rudé armády,,,,Odbor správy majetku,pomník,Pomníky a památníky,,,,U silnice směrem do Bílovic,Brno-Maloměřice a Obřany,Fryčajova,,,,,,,,,,https://pamatkovykatalog.cz/uskp/podle-relevance/1/seznam?h=1000139326&chranenoTed=1&hlObj=1&fulltext=,3/11/2025 12:00:00 AM,12,4760dd66-2578-421a-8438-c2dbe6773ce8,1853991.354085,6315732.53993997
7389,Jan Evangelista Purkyně,Bronzová busta je umístěna na kamenném podstavci a pod ní je tabulka s textem.,,bronz,,busta,Sochy,,Rudolf Svoboda,2007,Univerzitní kampus - vstupní prostor Anatomického ústavu LF MU,Brno-Bohunice,Kamenice,126,3,https://encyklopedie.brna.cz/home-mmb/?acc=profil_objektu&load=1590,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=239344&RECORD_ID=7389&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,,,,,,,3/11/2025 12:00:00 AM,13,ed8da109-4fc5-438e-881a-eadd24ddc564,1844961.7181171,6304983.34581112
7788,Adolf Opálka,,,,,deska,Pamětní desky,,,2022,,Brno-Královo Pole,Štefánikova,96,25,https://encyklopedie.brna.cz/home-mmb/?acc=profil_objektu&load=2081,,,,,,,,3/11/2025 12:00:00 AM,14,665b6b60-a129-4b3f-961a-9026301bad95,1848168.8660427,6310669.33391354
6902,Čeští protifašističtí bojovníci,,,,Neurčeno,deska,Pamětní desky,,,,Na zdi vpravo od vchodu z ulice Husova (tři desky vedle sebe),Brno-střed,Špilberk,210,1,https://encyklopedie.brna.cz/home-mmb/?acc=profil_objektu&load=345,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=98155&RECORD_ID=6902&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=98156&RECORD_ID=6902&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=98154&RECORD_ID=6902&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=98153&RECORD_ID=6902&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,,,,3/11/2025 12:00:00 AM,15,a835c685-92df-46db-a077-10acc72ef17c,1847962.1234844,6307960.31321886
7390,Tomáš Garrigue Masaryk,Bronzová busta bez textu,,bronz,,busta,Sochy,,Vincenc Makovský,1938,Ve vstupním prostoru Univerzitního kampusu (červená budova),Brno-Bohunice,Kamenice,753,5,https://encyklopedie.brna.cz/home-mmb/?acc=profil_objektu&load=919,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=239343&RECORD_ID=7390&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,,,,,,,3/11/2025 12:00:00 AM,16,29adf209-696f-4bf9-94ba-4c5697bb5e4f,1844363.7877362,6304974.52501378
7789,Lípa svobody,Na podstavci z kamenů složených do tvaru skalky umístěna obdélná deska na šířku z bílého kamene; písmo ryté,,,,deska,Pamětní desky,,,1945,V parku na nádvoří,Brno-Královo Pole,Štefánikova,122,53/a,https://encyklopedie.brna.cz/home-mmb/?acc=profil_objektu&load=586,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=371967&RECORD_ID=7789&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=371966&RECORD_ID=7789&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,,,,,,3/11/2025 12:00:00 AM,17,547e023f-17b7-459d-9d7a-efb62da228f0,1847866.91192392,6311210.06675916
15,Kašna se sousoším tří puttů,,,,Odbor správy majetku,kašna,Vodní prvky,,Franz Melnitzký,19. stol. - 2. pol.,V parku za budovou volnočasového centra Lužánky,,Lidická,1880,50,,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=175153&RECORD_ID=15&AGENDA_IDENT=PASPORT_PAMATEK_PAMATKY&preview=1080,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=175154&RECORD_ID=15&AGENDA_IDENT=PASPORT_PAMATEK_PAMATKY&preview=1080,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=175152&RECORD_ID=15&AGENDA_IDENT=PASPORT_PAMATEK_PAMATKY&preview=1080,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=175151&RECORD_ID=15&AGENDA_IDENT=PASPORT_PAMATEK_PAMATKY&preview=1080,,,https://pamatkovykatalog.cz/uskp/podle-relevance/1/seznam?h=1000149229&chranenoTed=1&hlObj=1&fulltext=,3/11/2025 12:00:00 AM,18,ca969d67-013e-4985-988f-eff650f21c41,1848725.19632989,6309960.44572018
6903,Maďarští vlastenci,,,,Neurčeno,deska,Pamětní desky,,,1964,Na zdi vpravo od vchodu z ulice Husova (tři desky vedle sebe),Brno-střed,Špilberk,210,1,https://encyklopedie.brna.cz/home-mmb/?acc=profil_objektu&load=344,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=98148&RECORD_ID=6903&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=98150&RECORD_ID=6903&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=98149&RECORD_ID=6903&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,,,,,3/11/2025 12:00:00 AM,19,c540537e-7c74-4487-b982-8792efd99dcb,1847951.06945896,6307963.92455305
7391,Jaromír Tomeček,"Jedná se o pískovcový kvádr, na výšku orientovaný a shora sešikmený, v jehož horní části je umístěn bronzový reliéf s podobou spisovatele. V pravé spodní části kvádru je bronzový štítek připomínající členství J. Tomečka v Rotary klubu Brno.",,kombinovaný,,busta,Sochy,,Jiří Marek ml.,2007,V areálu Ústavu Kociánka v parku nad jezírkem.,Brno-Královo Pole,Kociánka,2803,4/a,https://encyklopedie.brna.cz/home-mmb/?acc=profil_objektu&load=723,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=247278&RECORD_ID=7391&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=247277&RECORD_ID=7391&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=247276&RECORD_ID=7391&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=247275&RECORD_ID=7391&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,,,,3/11/2025 12:00:00 AM,20,cf93b2d4-08ff-4b11-8a68-809edaa13598,1848347.96797144,6313194.01110037
7392,František Kocourek,Dřevěná hlava v nadživotní velikosti jakoby vyrůstající z kmene stromu. Text je vyřezán vlevo dole a další text je na štítku na podstavci uprostřed.,,dřevo,,busta,Sochy,,Jiří Netík,1996,V prodejně nábytku Kocman u vchodu vlevo.,Brno-Řečkovice a Mokrá Hora,Kolaříkova,1499,3,https://encyklopedie.brna.cz/home-mmb/?acc=profil_objektu&load=508,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=372057&RECORD_ID=7392&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=372056&RECORD_ID=7392&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,,,,,,3/11/2025 12:00:00 AM,21,754c0feb-acc6-4fca-b215-2695f73156d9,1845920.14553698,6316919.87129486
